SUBSCRIPTION_ID,actual_activation
19942400,0
413420637,0
447529411,0
515256392,0
609716162,0
712096945,0
113132445,0
866501191,0
,0
897691801,0
447529411,0
909324638,0
551231134,0
609716162,0
712096945,0
289227863,0
866501191,0
515256392,0
242243425,0
551231134,0
853537687,1
865641839,0
859324255,1
863709269,1
863709269,1
863709269,0
854163151,0
864362655,0
865670438,1
865670438,0
865667395,0
864179847,0
865275350,0
865275350,0
859526583,1
860282202,0
863636892,0
863428559,1
863423572,0
864353800,0
863569288,0
868265581,0
868265581,0
868265581,0
854161074,0
860288826,0
865668518,0
863372131,1
865302227,1
863422819,1
864472054,0
864326955,0
866230680,0
861320027,1
865444555,0
864721457,1
859458814,0
864339737,0
864743563,1
859352779,1
859458544,1
864708138,1
859351725,1
862968404,0
855804683,1
865455038,1
865455038,1
865455038,1
865455038,0
865455038,1
863699488,1
859101459,0
859454346,0
861344850,0
859103932,0
859100127,0
865457263,0
859484723,0
859359276,0
859466791,0
859193722,1
865441394,0
865441394,0
859169941,1
863703094,0
859103852,0
863030306,1
861333833,1
861333833,1
861333833,1
861333833,1
861333833,1
861333833,1
861333833,1
861333833,1
861333833,1
861333833,1
861333833,1
861333833,1
861333833,1
861333833,1
861333833,1
861333833,1
864718754,0
864183371,1
863712697,0
863489201,1
863571254,1
864175785,0
865875437,1
865959757,0
861321325,1
864181994,0
863820399,0
19942400,0
413420637,0
447529411,0
515256392,0
609716162,0
712096945,0
113132445,0
866501191,0
413420637,0
897691801,0
447529411,0
909324638,0
551231134,0
609716162,0
712096945,0
289227863,0
866501191,0
515256392,0
242243425,0
551231134,0
853537687,1
865641839,0
859324255,1
863709269,1
863709269,1
863709269,0
854163151,0
864362655,0
865670438,1
865670438,0
865667395,0
864179847,0
865275350,0
865275350,0
859526583,1
860282202,0
863636892,0
863428559,1
863423572,0
864353800,0
863569288,0
868265581,0
868265581,0
868265581,0
854161074,0
860288826,0
865668518,0
863372131,1
865302227,1
863422819,1
864472054,0
864326955,0
866230680,0
861320027,1
865444555,0
864721457,1
859458814,0
864339737,0
864743563,1
859352779,1
859458544,1
864708138,1
859351725,1
862968404,0
855804683,1
865455038,1
865455038,1
865455038,1
865455038,0
865455038,1
863699488,1
859101459,0
859454346,0
861344850,0
859103932,0
859100127,0
