ACTIVATION_DATE,SUBSCRIPTION_ID,REVENUE,GENDER,,,BUNDLE_NAME
9/30/2023,865641839,17,Male,,,Daily 200MB Data Bundle
9/28/2023,859324255,110,Male,,,Monthly 1GB 110AFN
9/28/2023,863709269,17,Male,,,Daily 200MB Data Bundle
9/29/2023,863709269,17,Male,,,Daily 200MB Data Bundle
9/29/2023,863709269,17,Male,,,Daily 200MB Data Bundle
9/26/2023,854163151,10,Male,,,Hourly Bundle 400MB
9/26/2023,864362655,10,Male,,,Hourly Bundle 400MB
9/27/2023,865670438,55,Male,,,Weekly 425MB Data Bundle
9/30/2023,865670438,17,Male,,,Daily 200MB Data Bundle
9/30/2023,865667395,10,Male,,,Hourly Bundle 400MB
9/25/2023,864179847,12,Female,,,Hourly Bundle 512MB
9/25/2023,865275350,10,Male,,,Hourly Bundle 400MB
9/25/2023,865275350,10,Male,,,Hourly Bundle 400MB
9/30/2023,859526583,55,Female,,,Weekly 425MB Data Bundle
9/27/2023,860282202,17,Male,,,Daily 200MB Data Bundle
9/25/2023,863636892,10,Female,,,Hourly Bundle 400MB
9/30/2023,863428559,10,Male,,,Hourly Bundle 400MB
9/30/2023,863423572,17,Male,,,Daily 200MB Data Bundle
9/25/2023,864353800,10,Male,,,Hourly Bundle 400MB
9/28/2023,863569288,11,Male,,,Hourly Bundle 400MB
9/24/2023,868265581,10,Male,,,Hourly Bundle 400MB
9/24/2023,868265581,10,Male,,,Hourly Bundle 400MB
9/30/2023,868265581,10,Male,,,Hourly Bundle 400MB
9/28/2023,854161074,110,Male,,,Monthly 1GB 110AFN
9/26/2023,860288826,10,Male,,,Hourly Bundle 400MB
9/26/2023,865668518,10,Male,,,Hourly Bundle 400MB
9/25/2023,863372131,55,Male,,,Weekly 425MB Data Bundle
9/26/2023,865302227,17,Male,,,Daily 200MB Data Bundle
9/28/2023,863422819,17,Male,,,Daily 200MB Data Bundle
9/25/2023,864472054,17,Female,,,Daily 200MB Data Bundle
9/28/2023,864326955,10,Male,,,Hourly Bundle 400MB
9/30/2023,866230680,12,Male,,,Hourly Bundle 512MB
9/29/2023,861320027,50,Male,,,Daily 1GB for 50 Afs Subscription
9/27/2023,865444555,17,Male,,,Daily 200MB Data Bundle
9/27/2023,864721457,10,Male,,,Hourly Bundle 400MB
9/28/2023,859458814,17,Male,,,Daily 200MB Data Bundle
9/26/2023,864339737,10,Male,,,Hourly Bundle 400MB
9/25/2023,864743563,10,Male,,,Hourly Bundle 400MB
9/29/2023,859352779,17,Male,,,Daily 200MB Data Bundle
9/28/2023,859458544,17,Male,,,Daily 200MB Data Bundle
9/29/2023,864708138,15,Male,,,Daily 200MB Data Bundle
9/30/2023,859351725,17,Male,,,Daily 200MB Data Bundle
9/26/2023,862968404,17,Male,,,Daily 200MB Data Bundle
9/26/2023,855804683,110,Male,,,Monthly 1GB 110AFN
9/26/2023,865455038,17,Female,,,Daily 200MB Data Bundle
9/27/2023,865455038,17,Female,,,Daily 200MB Data Bundle
9/28/2023,865455038,17,Female,,,Daily 200MB Data Bundle
9/29/2023,865455038,17,Female,,,Daily 200MB Data Bundle
9/29/2023,865455038,11,Female,,,Hourly Bundle 400MB
9/26/2023,863699488,15,Male,,,Daily 200MB Data Bundle
9/30/2023,859101459,17,Male,,,Daily 200MB Data Bundle
9/30/2023,859454346,10,Male,,,Hourly Bundle 400MB
9/26/2023,861344850,55,Male,,,Weekly 425MB Data Bundle
9/30/2023,859103932,10,Female,,,Hourly Bundle 400MB
9/25/2023,859100127,50,Male,,,Daily 1GB for 50 Afs Subscription
9/28/2023,865457263,55,Male,,,Weekly 425MB Data Bundle
9/29/2023,859484723,110,Male,,,Monthly 1GB 110AFN
9/24/2023,859359276,55,Male,,,Weekly 425MB Data Bundle
9/29/2023,859466791,55,Male,,,Weekly 425MB Data Bundle
9/30/2023,859193722,11,Male,,,Hourly Bundle 400MB
9/26/2023,865441394,17,Male,,,Daily 200MB Data Bundle
9/27/2023,865441394,11,Male,,,Hourly Bundle 400MB
9/28/2023,859169941,50,Male,,,Daily 1GB for 50 Afs Subscription
9/27/2023,863703094,17,Male,,,Daily 200MB Data Bundle
9/28/2023,859103852,55,Male,,,Weekly 425MB Data Bundle
9/30/2023,863030306,10,Male,,,Hourly Bundle 400MB
