ACTIVATION_DATE,SUBSCRIPTION_ID,BUNDLE_NAME,REVENUE,GENDER,PROVINCE
9/30/2023,865641839,Daily 200MB Data Bundle,17,Male,KABUL
9/28/2023,859324255,Monthly 1GB 110AFN,110,Male,GHOR
9/28/2023,863709269,Daily 200MB Data Bundle,17,Male,BALKH
9/29/2023,863709269,Daily 200MB Data Bundle,17,Male,KABUL
9/29/2023,863709269,Daily 200MB Data Bundle,17,Male,KABUL
9/26/2023,854163151,Hourly Bundle 400MB,10,Male,NANGARHAR
9/26/2023,864362655,Hourly Bundle 400MB,10,Male,BAGHLAN
9/27/2023,865670438,Weekly 425MB Data Bundle,55,Male,KABUL
9/30/2023,865670438,Daily 200MB Data Bundle,17,Male,KABUL
9/30/2023,865667395,Hourly Bundle 400MB,10,Male,HELMAND
9/25/2023,864179847,Hourly Bundle 512MB,12,Female,BALKH
9/25/2023,865275350,Hourly Bundle 400MB,10,Male,KABUL
9/25/2023,865275350,Hourly Bundle 400MB,10,Male,KABUL
9/30/2023,859526583,Weekly 425MB Data Bundle,55,Female,KABUL
9/27/2023,860282202,Daily 200MB Data Bundle,17,Male,NANGARHAR
9/25/2023,863636892,Hourly Bundle 400MB,10,Female,PARWAN
9/30/2023,863428559,Hourly Bundle 400MB,10,Male,KABUL
9/30/2023,863423572,Daily 200MB Data Bundle,17,Male,KABUL
9/25/2023,864353800,Hourly Bundle 400MB,10,Male,NANGARHAR
9/28/2023,863569288,Hourly Bundle 400MB,11,Male,KABUL
9/24/2023,868265581,Hourly Bundle 400MB,10,Male,PAKTIKA
9/24/2023,868265581,Hourly Bundle 400MB,10,Male,KABUL
9/30/2023,868265581,Hourly Bundle 400MB,10,Male,GHOR
9/28/2023,854161074,Monthly 1GB 110AFN,110,Male,BALKH
9/26/2023,860288826,Hourly Bundle 400MB,10,Male,KABUL
9/26/2023,865668518,Hourly Bundle 400MB,10,Male,KABUL
9/25/2023,863372131,Weekly 425MB Data Bundle,55,Male,NANGARHAR
9/26/2023,865302227,Daily 200MB Data Bundle,17,Male,BAGHLAN
9/28/2023,863422819,Daily 200MB Data Bundle,17,Male,KABUL
9/25/2023,864472054,Daily 200MB Data Bundle,17,Female,KABUL
9/28/2023,864326955,Hourly Bundle 400MB,10,Male,HELMAND
9/30/2023,866230680,Hourly Bundle 512MB,12,Male,BALKH
9/29/2023,861320027,Daily 1GB for 50 Afs Subscription,50,Male,KABUL
9/27/2023,865444555,Daily 200MB Data Bundle,17,Male,KABUL
9/27/2023,864721457,Hourly Bundle 400MB,10,Male,KABUL
9/28/2023,859458814,Daily 200MB Data Bundle,17,Male,NANGARHAR
9/26/2023,864339737,Hourly Bundle 400MB,10,Male,PARWAN
9/25/2023,864743563,Hourly Bundle 400MB,10,Male,KABUL
9/29/2023,859352779,Daily 200MB Data Bundle,17,Male,KABUL
9/28/2023,859458544,Daily 200MB Data Bundle,17,Male,NANGARHAR
9/29/2023,864708138,Daily 200MB Data Bundle,15,Male,KABUL
9/30/2023,859351725,Daily 200MB Data Bundle,17,Male,PAKTIKA
9/26/2023,862968404,Daily 200MB Data Bundle,17,Male,KABUL
9/26/2023,855804683,Monthly 1GB 110AFN,110,Male,GHOR
9/26/2023,865455038,Daily 200MB Data Bundle,17,Female,BALKH
9/27/2023,865455038,Daily 200MB Data Bundle,17,Female,KABUL
9/28/2023,865455038,Daily 200MB Data Bundle,17,Female,KABUL
9/29/2023,865455038,Daily 200MB Data Bundle,17,Female,NANGARHAR
9/29/2023,865455038,Hourly Bundle 400MB,11,Female,BAGHLAN
9/26/2023,863699488,Daily 200MB Data Bundle,15,Male,KABUL
9/30/2023,859101459,Daily 200MB Data Bundle,17,Male,KABUL
9/30/2023,859454346,Hourly Bundle 400MB,10,Male,HELMAND
9/26/2023,861344850,Weekly 425MB Data Bundle,55,Male,BALKH
9/30/2023,859103932,Hourly Bundle 400MB,10,Female,KABUL
